% Specific	extinction	coeffs	taken from BORL Water measured by Matcher at 37Celcius
% specific absorption coefficient = specific extinction coefficient x ln(10)
% Specific Extinction is described using base 10 logarithm units and Specific Absorption is described using natural logarithm units.

wavelength,	Water,	HbO2,	HHb,	FatSoybean
650,2.50903e-05,386.8,3734.15,3734.15
651,2.52708e-05,379.2,3702.97,3702.97
652,2.61733e-05,372.1,3671.79,3671.79
653,2.59928e-05,365.81,3640.47,3640.47
654,2.65343e-05,360.01,3611.68,3611.68
655,2.54513e-05,354.41,3583.19,3583.19
656,2.59928e-05,349.41,3554.61,3554.61
657,2.56318e-05,345.01,3525.99,3525.99
658,2.87004e-05,340.91,3497.33,3497.33
659,2.76173e-05,337.52,3468.62,3468.62
660,2.99639e-05,334.52,3439.92,3439.92
661,2.99639e-05,331.71,3405.35,3405.35
662,2.94224e-05,329.32,3370.86,3370.86
663,2.96029e-05,327.52,3336.25,3336.25
664,2.87004e-05,325.92,3298.16,3298.16
665,2.96029e-05,324.42,3257.38,3257.38
666,2.96029e-05,323.32,3216.6,3216.6
667,2.96029e-05,322.62,3175.39,3175.39
668,2.90614e-05,321.92,3131.91,3131.91
669,3.01444e-05,321.52,3088.31,3088.31
670,2.99639e-05,321.22,3044.71,3044.71
671,2.92419e-05,321.12,2998.54,2998.54
672,3.03249e-05,321.12,2951.16,2951.16
673,3.08664e-05,321.32,2903.78,2903.78
674,3.213e-05,321.32,2856.18,2856.18
675,2.99639e-05,321.02,2807.97,2807.97
676,2.99639e-05,320.72,2759.9,2759.9
677,3.08664e-05,320.52,2711.69,2711.69
678,3.10469e-05,320.42,2664.53,2664.53
679,3.10469e-05,320.02,2617.62,2617.62
680,3.19495e-05,319.32,2570.63,2570.63
681,3.30325e-05,318.52,2524.16,2524.16
682,3.4296e-05,318.02,2478.17,2478.17
683,3.30325e-05,317.22,2432.27,2432.27
684,3.26715e-05,316.22,2386.4,2386.4
685,3.3935e-05,315.62,2343.02,2343.02
686,3.48375e-05,315.02,2299.81,2299.81
687,3.61011e-05,313.92,2256.64,2256.64
688,3.68231e-05,313.42,2215.64,2215.64
689,3.82671e-05,312.52,2176.64,2176.64
690,3.70036e-05,312.22,2137.64,2137.64
691,3.97112e-05,312.12,2099.16,2099.16
692,4.06137e-05,312.12,2065.07,2065.07
693,4.04332e-05,312.22,2030.98,2030.98
694,4.11552e-05,312.42,1996.89,1996.89
695,4.29603e-05,312.92,1966.01,1966.01
696,4.54874e-05,313.92,1936.52,1936.52
697,4.63899e-05,314.72,1907.12,1907.12
698,4.69314e-05,316.32,1878.63,1878.63
699,5.01805e-05,318.02,1852.53,1852.53
700,5.1444e-05,319.82,1826.56,1826.56
701,5.05415e-05,321.82,1800.54,1800.54
702,5.1083e-05,324.22,1777.26,1777.26
703,5.34296e-05,326.82,1754.33,1754.33
704,5.43321e-05,329.52,1731.45,1731.45
705,5.50542e-05,332.21,1709.47,1709.47
706,5.68592e-05,335.11,1688.28,1688.28
707,6.10108e-05,338.52,1667.08,1667.08
708,6.20939e-05,341.71,1645.98,1645.98
709,6.26354e-05,344.91,1626.3,1626.3
710,6.58845e-05,348.41,1606.59,1606.59
711,7.00361e-05,352.31,1586.91,1586.91
712,7.12996e-05,356.31,1567.28,1567.28
713,7.49097e-05,360.11,1547.7,1547.7
714,7.85199e-05,363.81,1528.11,1528.11
715,8.2491e-05,367.91,1508.91,1508.91
716,8.57401e-05,372.3,1490.32,1490.32
717,8.91697e-05,376.4,1471.74,1471.74
718,9.42238e-05,380.6,1453.15,1453.15
719,9.9639e-05,385.3,1436.12,1436.12
720,0.000101264,389.8,1419.32,1419.32
721,0.000106859,394.2,1402.55,1402.55
722,0.000112274,398.7,1387.14,1387.14
723,0.000117509,403.4,1372.94,1372.94
724,0.000120217,408.2,1358.86,1358.86
725,0.000127617,413.2,1345.27,1345.27
