% DPF dependency in wavelength by Mark Cope
% GCVL edit to 720nm keeping constant values
% ---------------------------------------------------------------------------------	
wavelength,	relDPFcoeff
680,1.0273
681,1.0273
682,1.0273
683,1.0273
684,1.0273
685,1.0273
686,1.0273
687,1.0273
688,1.0273
689,1.0273
690,1.0273
691,1.0273
692,1.0273
693,1.0273
694,1.0273
695,1.0273
696,1.0273
697,1.0273
698,1.0273
699,1.0273
700,1.0273
701,1.0273
702,1.0273
703,1.0273
704,1.0273
705,1.0273
706,1.0273
707,1.0273
708,1.0273
709,1.0273
710,1.0273
711,1.0273
712,1.0273
713,1.0273
714,1.0273
715,1.0273
716,1.0273
717,1.0273
718,1.0273
719,1.0273
720,1.0273
721,1.0273
722,1.0273
723,1.0273
724,1.0273
725,1.0273
726,1.0273
727,1.0273
728,1.0273
729,1.0273
731,1.0273
732,1.0273
733,1.0273
734,1.0273
735,1.0273
736,1.0273
737,1.0273
738,1.0273
739,1.0273
740,1.0273
741,1.0253
742,1.0233
743,1.0213
744,1.0193
745,1.0174
746,1.0151
747,1.0128
748,1.0105
749,1.0083
750,1.006
751,1.0037
752,1.0013
753,0.999
754,0.9967
755,0.9944
756,0.994
757,0.9936
758,0.9932
759,0.9928
760,0.9923
761,0.9923
762,0.9923
763,0.9923
764,0.9922
765,0.9922
766,0.9929
767,0.9936
768,0.9943
769,0.9951
770,0.9958
771,0.9965
772,0.9972
773,0.998
774,0.9987
775,0.9994
776,0.9995
777,0.9997
778,0.9998
779,0.9999
780,1
781,0.9996
782,0.9991
783,0.9987
784,0.9982
785,0.9978
786,0.9971
787,0.9965
788,0.9958
789,0.9951
790,0.9945
791,0.9937
792,0.9929
793,0.9922
794,0.9914
795,0.9906
796,0.9883
797,0.9859
798,0.9835
799,0.9812
800,0.9788
801,0.9779
802,0.977
803,0.976
804,0.9751
805,0.9742
806,0.9732
807,0.9721
808,0.9711
809,0.9701
810,0.969
811,0.9675
812,0.966
813,0.9645
814,0.963
815,0.9615
816,0.9599
817,0.9583
818,0.9567
819,0.955
820,0.9534
821,0.9516
822,0.9497
823,0.9479
824,0.946
825,0.9442
826,0.9421
827,0.9401
828,0.9381
829,0.936
830,0.934
831,0.9321
832,0.9302
833,0.9283
834,0.9264
835,0.9245
836,0.9226
837,0.9208
838,0.9189
839,0.9171
840,0.9152
841,0.9154
842,0.9157
843,0.9159
844,0.9162
845,0.9164
846,0.9151
847,0.9137
848,0.9124
849,0.911
850,0.9097
851,0.9083
852,0.907
853,0.9056
854,0.9043
855,0.9029
856,0.9016
857,0.9002
858,0.8989
859,0.8975
860,0.8962
861,0.895
862,0.8938
863,0.8927
864,0.8915
865,0.8903
866,0.8891
867,0.8879
868,0.8868
869,0.8856
870,0.8844
871,0.8822
872,0.8801
873,0.8779
874,0.8758
875,0.8736
876,0.8715
877,0.8693
878,0.8672
879,0.865
880,0.8629
881,0.8607
882,0.8585
883,0.8564
884,0.8542
885,0.852
886,0.8498
887,0.8476
888,0.8453
889,0.8431
890,0.8408
891,0.8382
892,0.8356
893,0.833
894,0.8303
895,0.8277
896,0.8251
897,0.8225
898,0.8199
899,0.8172
900,0.8146
901,0.812
902,0.8094
903,0.8068
904,0.8041
905,0.8015
906,0.7989
907,0.7963
908,0.7937
909,0.791
910,0.7884
911,0.7858
912,0.7832
913,0.7805
914,0.7779
915,0.7753
916,0.7724
917,0.7696
918,0.7668
919,0.763
920,0.7603
921,0.7578
